sku,day,demand,order_cost,holding_cost,unit_cost
C335,5,18,150,0.08,20
C335,6,14,250,0.08,35
C335,7,16,100,0.15,25
C335,8,16,200,0.15,15
C335,9,23,150,0.12,15
C335,10,17,100,0.1,25
C335,11,15,250,0.08,20
C335,12,19,250,0.15,20
C335,13,11,250,0.15,35
C335,14,14,100,0.15,25
C335,15,17,100,0.08,30
C335,16,22,100,0.15,35
C335,17,15,100,0.12,15
C335,18,18,150,0.1,20
C335,19,12,250,0.08,15
C335,20,16,150,0.15,15
C335,21,20,100,0.1,25
C335,22,13,200,0.08,35
C335,23,16,100,0.12,35
C335,24,14,150,0.12,35
C335,25,21,150,0.1,25
C335,26,17,100,0.08,15
C335,27,11,100,0.15,20
C335,28,17,250,0.12,20
C335,29,4,200,0.12,20
C335,30,15,250,0.08,30
D410,1,12,200,0.12,35
D410,2,21,100,0.1,20
D410,3,14,150,0.1,20
D410,4,14,150,0.12,25
D410,5,14,100,0.1,15
D410,6,12,250,0.12,30
D410,7,14,100,0.08,35
D410,8,8,250,0.1,15
D410,9,9,250,0.08,20
D410,10,13,150,0.08,20
D410,11,17,250,0.12,25
D410,12,9,200,0.08,25
D410,13,15,250,0.15,15
D410,14,11,200,0.15,25
D410,15,15,100,0.1,25
D410,16,14,200,0.08,35
D410,17,10,150,0.08,15
D410,18,10,100,0.08,30
D410,19,12,150,0.1,35
D410,20,10,200,0.08,20
D410,21,15,200,0.15,25
D410,22,17,200,0.15,35
D410,23,14,250,0.12,20
D410,24,11,250,0.12,20
D410,25,16,200,0.12,25
D410,26,11,200,0.15,35
D410,27,12,200,0.12,15
D410,28,16,200,0.08,30
D410,29,12,250,0.08,15
D410,30,10,100,0.15,15
E520,1,41,150,0.12,30
E520,2,24,200,0.1,20
E520,3,46,250,0.12,20
E520,4,42,100,0.08,30
E520,5,39,250,0.12,35
E520,6,45,150,0.08,15
E520,7,30,150,0.1,30
E520,8,31,150,0.12,15
E520,9,33,250,0.08,30
E520,10,27,250,0.12,20
E520,11,38,200,0.1,15
E520,12,33,150,0.15,25
E520,13,36,200,0.15,20
E520,14,38,200,0.08,30
E520,15,26,250,0.08,30
E520,16,37,200,0.08,20
E520,17,31,150,0.12,30
E520,18,33,100,0.12,25
E520,19,32,150,0.08,20
E520,20,30,250,0.1,35
E520,21,29,200,0.08,15
E520,22,34,100,0.08,25
E520,23,48,200,0.1,15
E520,24,29,100,0.1,30
E520,25,34,250,0.12,25
E520,26,33,100,0.15,30
E520,27,32,100,0.08,30
E520,28,33,150,0.12,35
E520,29,29,150,0.1,30
E520,30,28,100,0.08,20
F615,1,44,150,0.15,25
F615,2,59,100,0.1,15
F615,3,47,100,0.08,15
F615,4,62,200,0.12,20
F615,5,55,200,0.12,25
F615,6,47,150,0.1,25
F615,7,33,250,0.15,35
F615,8,57,100,0.15,25
F615,9,42,100,0.08,35
F615,10,50,200,0.12,15
F615,11,47,150,0.08,25
F615,12,42,150,0.08,35
F615,13,44,100,0.15,35
F615,14,37,100,0.12,30
F615,15,56,200,0.12,25
F615,16,56,250,0.15,20
F615,17,39,200,0.1,20
F615,18,35,250,0.1,20
F615,19,48,100,0.08,30
F615,20,71,200,0.15,30
F615,21,63,250,0.08,20
F615,22,52,100,0.15,20
F615,23,41,250,0.1,15
F615,24,42,100,0.12,25
F615,25,31,100,0.08,15
F615,26,61,150,0.15,15
F615,27,55,200,0.1,20
F615,28,25,200,0.1,25
F615,29,43,200,0.12,30
F615,30,62,200,0.12,15
G700,1,43,200,0.1,20
G700,2,30,250,0.1,35
G700,3,39,100,0.08,30
G700,4,36,150,0.1,30
G700,5,26,200,0.08,35
G700,6,37,150,0.12,25
G700,7,37,250,0.1,35
G700,8,34,100,0.08,35
G700,9,54,150,0.08,25
G700,10,28,200,0.1,20
G700,11,24,150,0.1,25
G700,12,56,200,0.15,15
G700,13,31,200,0.15,20
G700,14,34,150,0.12,20
G700,15,33,250,0.15,20
G700,16,35,200,0.08,15
G700,17,24,200,0.12,35
G700,18,38,250,0.1,15
G700,19,32,100,0.15,20
G700,20,39,200,0.15,25
G700,21,34,200,0.15,20
G700,22,28,200,0.1,15
G700,23,38,250,0.1,20
G700,24,26,100,0.12,35
G700,25,27,150,0.12,30
G700,26,30,250,0.08,35
G700,27,44,150,0.08,30
G700,28,20,200,0.15,20
G700,29,32,150,0.1,25
G700,30,38,150,0.12,15
